,tweet,data,rt,quote
202,@oleolacerda @gabriellimaxx_ Com certeza kkkkkkkk,2021-12-20 16:55:07+00:00,,
203,"@luandecrystal Reassistir complica né, cadê o tempo pra isso ? Kkkk",2021-12-20 02:57:11+00:00,,
204,Eu funciono assistindo as temporadas uma atrás da outra,2021-12-20 01:45:38+00:00,,
205,"Eu sou péssimo de lembrar as coisas da temporada passado para começar uma nova
E esse resumo que a Netflix faz n me ajuda",2021-12-20 01:45:07+00:00,,
206,"Tom Holland é muito talentoso, mas ele não é bonito vlh",2021-12-19 15:46:34+00:00,,
207,A vontade de beber passou kkkkkk,2021-12-18 22:38:05+00:00,,
208,"Eu não comemorei ainda a aprovação no mestrado vlh, acho que vou beber amanhã no Edson",2021-12-17 18:09:11+00:00,,
209,@assumpreto_ Eca vlh,2021-12-15 03:02:24+00:00,,
210,"Gente que loucura é essa nessa internet brasileira hoje em ?
#IAMPABLLO  #FinalCorridaDasBogueiras #MasterChef",2021-12-15 02:00:31+00:00,,
211,@wesmath3us Amém!,2021-12-13 17:43:08+00:00,,
212,E o mestrado veio ai né!,2021-12-11 23:23:50+00:00,,
213,"@luandecrystal Países capitalistas defendendo a democracia, sempre bom dar uma risada de vez em quando",2021-12-10 17:55:45+00:00,,
214,Fundador de empresa especializada num assunto não é especialista nesse assunto. Ele é especialista em como lucrar com isso,2021-12-10 17:50:28+00:00,,
215,E tbm nem sei se vai ser mais orientador,2021-12-08 23:03:41+00:00,,
216,Esse vácuo que tô recebendo do orientador n é um bom sinal,2021-12-08 23:03:18+00:00,,
217,"@M4dmari demais, eu fico insistindo nele, mas é muito decepção ali",2021-12-06 00:08:20+00:00,,
218,"@luandecrystal amigo, vcs dois são uma incrível exceção",2021-12-06 00:03:50+00:00,,
219,algum match no tinder de vcs já deu em alguma coisa?,2021-12-05 23:24:49+00:00,,
220,"Eu tô com um bloqueio para leitura a mais de dois meses, misericórdia que coisa horrível.",2021-12-05 23:18:24+00:00,,
221,ASSISTI QUEEN OF THE UNIVERSE!!!!,2021-12-05 23:13:55+00:00,,
222,@luandecrystal Todas as nossas notas boas na graduação amigo,2021-12-04 13:25:10+00:00,,
223,@4n1t_4 Passado!! Vou atrás então,2021-12-04 13:24:16+00:00,,
224,@M4dmari Maravilhosa!!! Parabéns amg,2021-12-04 11:04:48+00:00,,
225,"@Renataexausta O do Canadá eu tô e estou amando horrores, mas o da Itália eu assisti só primeiro ep e n gostei",2021-12-04 02:06:17+00:00,,
226,"Alguém assina o Paramount+????
EU QUERO ASSISTIR QUEEN OF THE UNIVERSE!!!!!",2021-12-03 22:11:46+00:00,,
227,"Todo semestre vejo o quanto eu gosto de análise de dados, aprendizagem de máquina e agr pln.
Mas passei 1 ano e meio trabalhando com sys adm e tô desde abril trabalhando com desenvolvimento web.",2021-12-03 13:18:46+00:00,,
228,Que coisa difícil conseguir assistir o primeiro ep de queen of the universe,2021-12-03 12:26:42+00:00,,
229,"E essa música da Cleo com a Mamacita, que perfeição!!",2021-12-02 14:15:59+00:00,,
